Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000040000000 CH2:0.0000040000000,,Second,Volt,Volt
,,,-0.04011600092,-0.08000,0.00
,,,-0.04011199996,0.00,0.00
,,,-0.04010799900,0.00,0.00
,,,-0.04010400176,0.00,0.00
,,,-0.04010000080,0.00,0.00
,,,-0.04009599984,-0.08000,0.00
,,,-0.04009199888,0.00,0.00
,,,-0.04008800164,0.00,0.00
,,,-0.04008400068,0.00,0.00
,,,-0.04007999972,-0.08000,0.00
,,,-0.04007599875,0.00,0.00
,,,-0.04007200152,-0.08000,0.00
,,,-0.04006800056,-0.08000,0.00
,,,-0.04006399959,0.00,0.00
,,,-0.04005999863,0.00,0.08000
,,,-0.04005600139,0.00,0.00
,,,-0.04005200043,0.00,0.00
,,,-0.04004799947,0.00,0.00
,,,-0.04004399851,-0.08000,0.00
,,,-0.04004000127,0.00,0.00
,,,-0.04003600031,0.00,0.00
,,,-0.04003199935,-0.08000,0.00
,,,-0.04002799839,0.00,0.00
,,,-0.04002400115,0.00,0.00
,,,-0.04002000019,0.00,0.00
,,,-0.04001599923,0.00,0.00
,,,-0.04001199827,0.00,0.00
,,,-0.04000800103,0.00,0.00
,,,-0.04000400007,0.00,0.00
,,,-0.03999999911,0.00,0.00
,,,-0.03999599814,0.00,0.00
,,,-0.03999200091,0.00,0.00
,,,-0.03998799995,0.00,0.00
,,,-0.03998399898,0.00,0.00
,,,-0.03998000175,0.00,0.00
,,,-0.03997600079,0.00,0.00
,,,-0.03997199982,0.00,0.00
,,,-0.03996799886,0.00,0.00
,,,-0.03996400163,0.00,0.00
,,,-0.03996000066,-0.08000,0.00
,,,-0.03995599970,0.00,0.00
,,,-0.03995199874,0.00,0.08000
,,,-0.03994800150,0.00,-0.08000
,,,-0.03994400054,-0.08000,0.00
,,,-0.03993999958,0.00,0.00
,,,-0.03993599862,0.00,0.00
,,,-0.03993200138,0.00,-0.08000
,,,-0.03992800042,0.00,0.00
,,,-0.03992399946,0.00,0.00
,,,-0.03991999850,0.00,-0.08000
,,,-0.03991600126,0.00,0.00
,,,-0.03991200030,0.00,0.00
,,,-0.03990799934,0.00,0.00
,,,-0.03990399837,0.00,0.00
,,,-0.03990000114,0.00,-0.08000
,,,-0.03989600018,0.00,0.00
,,,-0.03989199921,0.00,0.00
,,,-0.03988799825,0.00,0.00
,,,-0.03988400102,-0.08000,0.00
,,,-0.03988000005,0.00,0.00
,,,-0.03987599909,-0.08000,0.00
,,,-0.03987199813,0.00,0.00
,,,-0.03986800089,0.00,0.00
,,,-0.03986399993,0.00,0.08000
,,,-0.03985999897,0.00,0.00
,,,-0.03985600173,0.00,0.08000
,,,-0.03985200077,0.00,0.08000
,,,-0.03984799981,0.00,0.00
,,,-0.03984399885,0.00,0.00
,,,-0.03984000161,0.00,0.00
,,,-0.03983600065,0.00,0.00
,,,-0.03983199969,0.00,0.00
,,,-0.03982799873,0.00,0.00
,,,-0.03982400149,0.00,0.00
,,,-0.03982000053,0.00,0.00
,,,-0.03981599957,0.00,-0.08000
,,,-0.03981199861,-0.08000,0.00
,,,-0.03980800137,-0.08000,-0.08000
,,,-0.03980400041,0.00,0.00
,,,-0.03979999945,0.00,0.00
,,,-0.03979599848,-0.08000,0.00
,,,-0.03979200125,0.00,0.00
,,,-0.03978800029,0.00,0.00
,,,-0.03978399932,0.00,0.00
,,,-0.03977999836,0.00,0.00
,,,-0.03977600113,0.00,0.00
,,,-0.03977200016,0.00,0.00
,,,-0.03976799920,-0.08000,0.00
,,,-0.03976399824,-0.08000,0.00
,,,-0.03976000100,0.00,0.00
,,,-0.03975600004,0.00,0.00
,,,-0.03975199908,0.00,0.00
,,,-0.03974799812,0.00,0.00
,,,-0.03974400088,-0.08000,0.00
,,,-0.03973999992,0.00,0.00
,,,-0.03973599896,-0.08000,0.00
,,,-0.03973200172,0.00,0.00
